Variable Star,Number of Observations,Number of Observers,First Observation JD / UT,Latest Observation JD / UT,Maximum Magnitude,Minimum Magnitude,Range
V466 AND,71,1,2454712.584000 3 Sep 2008 02:00:57.600000,2459904.400000 20 Nov 2022 21:36:00.000000,12.900,15.600,2.700 
V466 AQL,1,1,2449159.515000 21 Jun 1993 00:21:36.000000,2449159.515000 21 Jun 1993 00:21:36.000000,10.300,10.300,0.000 
V471 PER,19,1,2450670.568700 10 Aug 1997 01:38:55.680000,2450746.422200 24 Oct 1997 22:07:58.080000,13.000,13.400,0.400 
V472 LYR,1,1,2457923.434000 18 Jun 2017 22:24:57.600000,2457923.434000 18 Jun 2017 22:24:57.600000,11.900,11.900,0.000 
V473 CYG,1,1,2448857.505000 23 Aug 1992 00:07:12.000000,2448857.505000 23 Aug 1992 00:07:12.000000,11.200,11.200,0.000 
V473 Tau,1,1,2459222.263000 7 Jan 2021 18:18:43.200000,2459222.263000 7 Jan 2021 18:18:43.200000,7.300,7.300,0.000 
V474 AQL,4,1,2447721.427083 13 Jul 1989 22:14:59.971200,2447742.429861 3 Aug 1989 22:18:59.990400,10.600,10.700,0.100 
V4742 SGR,1,1,2452552.297900 4 Oct 2002 19:08:58.560000,2452552.297900 4 Oct 2002 19:08:58.560000,9.800,9.800,0.000 
V4743 SGR,22,6,2452540.334700 22 Sep 2002 20:01:58.080000,2452575.261100 27 Oct 2002 18:15:59.040000,6.200,9.100,2.900 
V475 SCT,56,6,2452882.334700 30 Aug 2003 20:01:58.080000,2452960.246500 16 Nov 2003 17:54:57.600000,8.600,14.300,5.700 
V476 CYG,1,1,2454718.564600 9 Sep 2008 01:33:01.440000,2454718.564600 9 Sep 2008 01:33:01.440000,17.000,17.000,0.000 
V477 AQL,1,1,2448342.656000 27 Mar 1991 03:44:38.400000,2448342.656000 27 Mar 1991 03:44:38.400000,9.800,9.800,0.000 
V477 CYG,216,2,2453590.423600 7 Aug 2005 22:09:59.040000,2458960.579000 21 Apr 2020 01:53:45.600000,8.300,9.620,1.320 
V478 HER,764,6,2452081.482600 20 Jun 2001 23:34:56.640000,2459858.326000 5 Oct 2022 19:49:26.400000,12.500,18.000,5.500 
V479 CYG,37,2,2448418.520000 11 Jun 1991 00:28:48.000000,2451809.384000 21 Sep 2000 21:12:57.600000,10.100,14.000,3.900 
V482 CYG,5986,21,2446799.240200 3 Jan 1987 17:45:53.280000,2459906.288000 22 Nov 2022 18:54:43.200000,10.000,15.600,5.600 
V485 CEN ,9,2,2451250.069000 12 Mar 1999 13:39:21.600000,2456477.792000 4 Jul 2013 07:00:28.800000,14.000,15.600,1.600 
V485 CYG,1,1,2451516.374300 3 Dec 1999 20:58:59.520000,2451516.374300 3 Dec 1999 20:58:59.520000,8.900,8.900,0.000 
V490 CEP,31,1,2450648.486100 18 Jul 1997 23:39:59.040000,2450734.495800 12 Oct 1997 23:53:57.120000,13.900,14.200,0.300 
V493 AUR,443,13,2447501.504000 6 Dec 1988 00:05:45.600000,2455257.331900 1 Mar 2010 19:57:56.160000,9.400,16.100,6.700 
V493 LYR,2702,11,2449199.482000 30 Jul 1993 23:34:04.800000,2459906.273000 22 Nov 2022 18:33:07.200000,13.000,16.200,3.200 
V493 Ser,69,2,2454236.702800 16 May 2007 04:52:01.920000,2455816.442400 11 Sep 2011 22:37:03.360000,12.940,19.100,6.160 
V494 AUR,267,10,2450546.460000 7 Apr 1997 23:02:24.000000,2455257.333300 1 Mar 2010 19:59:57.120000,10.600,15.700,5.100 
V496 SCT,17,3,2455145.238000 9 Nov 2009 17:42:43.200000,2455178.209000 12 Dec 2009 17:00:57.600000,7.100,8.700,1.600 
V497 CYG,1,1,2448418.498000 10 Jun 1991 23:57:07.200000,2448418.498000 10 Jun 1991 23:57:07.200000,10.400,10.400,0.000 
V500 And,52,1,2459447.554000 21 Aug 2021 01:17:45.600000,2459904.409000 20 Nov 2022 21:48:57.600000,14.500,15.800,1.300 
V501 CEP,64,2,2450153.330000 10 Mar 1996 19:55:12.000000,2451818.387000 30 Sep 2000 21:17:16.800000,12.700,14.600,1.900 
V503 CYG,1361,5,2448268.275000 11 Jan 1991 18:36:00.000000,2459906.295000 22 Nov 2022 19:04:48.000000,13.000,16.300,3.300 
V504 AQL,1,1,2448810.456000 6 Jul 1992 22:56:38.400000,2448810.456000 6 Jul 1992 22:56:38.400000,11.200,11.200,0.000 
V504 CEN,1,1,2456457.890000 14 Jun 2013 09:21:36.000000,2456457.890000 14 Jun 2013 09:21:36.000000,13.700,13.700,0.000 
V505 MON,98,3,2443803.718000 22 Oct 1978 05:13:55.200000,2458440.632000 18 Nov 2018 03:10:04.800000,6.680,7.700,1.020 
V506 CYG,1,1,2448037.446000 25 May 1990 22:42:14.400000,2448037.446000 25 May 1990 22:42:14.400000,10.700,10.700,0.000 
V509 CAS,704,5,2446613.493000 1 Jul 1986 23:49:55.200000,2459600.278000 20 Jan 2022 18:40:19.200000,4.800,6.000,1.200 
V5114 Sag,3,1,2453081.689600 17 Mar 2004 04:33:01.440000,2453089.631900 25 Mar 2004 03:09:56.160000,8.000,9.500,1.500 
V513 Peg,192,1,2454057.374300 17 Nov 2006 20:58:59.520000,2459904.343000 20 Nov 2022 20:13:55.200000,12.600,16.200,3.600 
V513 PER,271,6,2447508.506000 13 Dec 1988 00:08:38.400000,2457388.485000 31 Dec 2015 23:38:24.000000,10.300,14.600,4.300 
V516 CAS,1,1,2450140.373000 26 Feb 1996 20:57:07.200000,2450140.373000 26 Feb 1996 20:57:07.200000,10.900,10.900,0.000 
V516 CYG,1251,6,2448418.547200 11 Jun 1991 01:07:58.080000,2459906.294000 22 Nov 2022 19:03:21.600000,12.200,16.900,4.700 
V518 PER,1402,12,2448857.562000 23 Aug 1992 01:29:16.800000,2459879.401000 26 Oct 2022 21:37:26.400000,11.900,16.400,4.500 
V519 Ser,84,1,2454967.612500 16 May 2009 02:42:00.000000,2455674.781300 23 Apr 2011 06:45:04.320000,15.400,18.200,2.800 
V521 CYG,2,1,2456277.393100 15 Dec 2012 21:26:03.840000,2456291.338200 29 Dec 2012 20:07:00.480000,13.000,13.000,0.000 
V521 Peg,206,1,2453322.434000 12 Nov 2004 22:24:57.600000,2459904.342000 20 Nov 2022 20:12:28.800000,12.200,17.080,4.880 
V523 CAS,41,1,2450372.297200 15 Oct 1996 19:07:58.080000,2450375.420800 18 Oct 1996 22:05:57.120000,10.700,11.400,0.700 
V523 MON,55,1,2445597.678000 20 Sep 1983 04:16:19.200000,2459679.403000 9 Apr 2022 21:40:19.200000,7.300,7.600,0.300 
V525 CAS,1,1,2448919.456000 23 Oct 1992 22:56:38.400000,2448919.456000 23 Oct 1992 22:56:38.400000,11.600,11.600,0.000 
V526 HER,1,1,2449115.406000 7 May 1993 21:44:38.400000,2449115.406000 7 May 1993 21:44:38.400000,10.500,10.500,0.000 
V528 AQL,38,4,2431684.300000 16 Aug 1945 19:12:00.000000,2431732.300000 3 Oct 1945 19:12:00.000000,7.300,12.800,5.500 
V529 DRA,299,1,2457659.337000 27 Sep 2016 20:05:16.800000,2459896.261000 12 Nov 2022 18:15:50.400000,14.300,15.400,1.100 
V529 ORI,331,2,2450361.467000 4 Oct 1996 23:12:28.800000,2459694.400000 24 Apr 2022 21:36:00.000000,6.700,13.900,7.200 
V530 ORI,3,1,2450814.353400 31 Dec 1997 20:28:53.760000,2450814.407600 31 Dec 1997 21:46:56.640000,10.000,10.000,0.000 
V532 OPH,25,1,2454967.633300 16 May 2009 03:11:57.120000,2455817.436100 12 Sep 2011 22:27:59.040000,10.920,12.500,1.580 
V533 HER,1192,31,2438073.600000 13 Feb 1963 02:24:00.000000,2459904.349000 20 Nov 2022 20:22:33.600000,4.320,14.500,10.180 
V533 MON,1,1,2450011.613000 21 Oct 1995 02:42:43.200000,2450011.613000 21 Oct 1995 02:42:43.200000,9.700,9.700,0.000 
V533 OPH,154,3,2443750.434000 29 Aug 1978 22:24:57.600000,2458996.494000 26 May 2020 23:51:21.600000,6.900,8.300,1.400 
V536 Dra,1,1,2454747.348600 7 Oct 2008 20:21:59.040000,2454747.348600 7 Oct 2008 20:21:59.040000,15.600,15.600,0.000 
V536 HER,1,1,2450570.567000 2 May 1997 01:36:28.800000,2450570.567000 2 May 1997 01:36:28.800000,11.000,11.000,0.000 
V537 PEG,9,2,2453747.340300 11 Jan 2006 20:10:01.920000,2457333.463000 6 Nov 2015 23:06:43.200000,12.800,14.600,1.800 
V542 CYG,2431,7,2448260.277700 3 Jan 1991 18:39:53.280000,2459904.332000 20 Nov 2022 19:58:04.800000,12.700,16.100,3.400 
V544 HER,24,1,2454840.026400 8 Jan 2009 12:38:00.960000,2454997.657600 15 Jun 2009 03:46:56.640000,15.200,15.200,0.000 
V548 HER,1,1,2447979.554000 29 Mar 1990 01:17:45.600000,2447979.554000 29 Mar 1990 01:17:45.600000,11.700,11.700,0.000 
