Variable Star,Number of Observations,Number of Observers,First Observation JD / UT,Latest Observation JD / UT,Maximum Magnitude,Minimum Magnitude,Range
0531+00,2,1,2448216.495000 20 Nov 1990 23:52:48.000000,2449391.448000 7 Feb 1994 22:45:07.200000,9.900,11.300,1.400 
0545+46,2,1,2447905.255000 13 Jan 1990 18:07:12.000000,2449393.452000 9 Feb 1994 22:50:52.800000,11.300,11.900,0.600 
0643-1645 CMA,11,1,2448631.518700 10 Jan 1992 00:26:55.680000,2448692.366600 10 Mar 1992 20:47:54.240000,11.800,12.000,0.200 
128 COMP STAR,1,1,2453919.482600 2 Jul 2006 23:34:56.640000,2453919.482600 2 Jul 2006 23:34:56.640000,12.600,12.600,0.000 
1910+47,2,1,2448477.506000 9 Aug 1991 00:08:38.400000,2449719.306000 1 Jan 1995 19:20:38.400000,11.000,11.800,0.800 
1RXS J063214.8+253620,1,1,2455955.381900 28 Jan 2012 21:09:56.160000,2455955.381900 28 Jan 2012 21:09:56.160000,12.700,12.700,0.000 
1RXS J105010.3-140431,1,1,2456466.776000 23 Jun 2013 06:37:26.400000,2456466.776000 23 Jun 2013 06:37:26.400000,13.800,13.800,0.000 
21 PSC,2,1,2443789.414000 7 Oct 1978 21:56:09.600000,2443818.390000 5 Nov 1978 21:21:36.000000,5.200,5.300,0.100 
2300+70,2,1,2448891.437000 25 Sep 1992 22:29:16.800000,2449692.453000 5 Dec 1994 22:52:19.200000,10.500,10.600,0.100 
3 CET,7,1,2410283.500000 12 Jan 1887 00:00:00.000000,2410624.500000 19 Dec 1887 00:00:00.000000,5.100,5.200,0.100 
3C 232,24,1,2452701.379100 2 Mar 2003 21:05:54.240000,2458574.404100 31 Mar 2019 21:41:54.240000,9.700,15.500,5.800 
3C 273,2436,19,2444706.441000 11 Apr 1981 22:35:02.400000,2459732.459000 1 Jun 2022 23:00:57.600000,10.100,15.200,5.100 
3C 279,894,8,2448767.460400 24 May 1992 23:02:58.560000,2459726.476000 26 May 2022 23:25:26.400000,12.800,17.800,5.000 
3C 345,76,1,2448337.524300 22 Mar 1991 00:34:59.520000,2449456.481000 13 Apr 1994 23:32:38.400000,14.260,15.220,0.960 
3C 351,72,1,2451937.726000 28 Jan 2001 05:25:26.400000,2459720.483000 20 May 2022 23:35:31.200000,14.700,15.800,1.100 
3C 371,1354,3,2445940.404000 27 Aug 1984 21:41:45.600000,2459378.523000 13 Jun 2021 00:33:07.200000,14.000,16.100,2.100 
3C 382,670,2,2453142.561100 17 May 2004 01:27:59.040000,2459906.272000 22 Nov 2022 18:31:40.800000,12.900,15.400,2.500 
3C 454.3,11,2,2454337.406900 24 Aug 2007 21:45:56.160000,2456280.340300 18 Dec 2012 20:10:01.920000,14.100,17.000,2.900 
3C 66A,1811,11,2449300.517000 9 Nov 1993 00:24:28.800000,2459904.402000 20 Nov 2022 21:38:52.800000,12.000,15.600,3.600 
3C 66B,8,1,2449335.453000 13 Dec 1993 22:52:19.200000,2449692.403000 5 Dec 1994 21:40:19.200000,14.100,14.400,0.300 
44 NYSA,1,1,2455542.516700 12 Dec 2010 00:24:02.880000,2455542.516700 12 Dec 2010 00:24:02.880000,10.100,10.100,0.000 
45 DRA,1,1,2452173.277800 20 Sep 2001 18:40:01.920000,2452173.277800 20 Sep 2001 18:40:01.920000,7.900,7.900,0.000 
4C 11.69,16,3,2456276.408300 14 Dec 2012 21:47:57.120000,2458354.544000 24 Aug 2018 01:03:21.600000,11.400,16.000,4.600 
4C+29.45,20,1,2449069.388000 22 Mar 1993 21:18:43.200000,2449306.555000 15 Nov 1993 01:19:12.000000,14.000,15.360,1.360 
51 CAS,5,1,2453738.262500 2 Jan 2006 18:18:00.000000,2454023.235400 14 Oct 2006 17:38:58.560000,7.200,7.400,0.200 
57 SGR,10,1,2411892.527778 9 Jun 1891 00:40:00.019200,2412028.302083 22 Oct 1891 19:14:59.971200,5.700,6.800,1.100 
68 HER,1717,13,2411848.500000 26 Apr 1891 00:00:00.000000,2459114.366000 21 Sep 2020 20:47:02.400000,4.580,5.700,1.120 
6DFGS G2118043-341342,2,1,2456573.917000 8 Oct 2013 10:00:28.800000,2456591.857000 26 Oct 2013 08:34:04.800000,14.700,15.400,0.700 
70 UMA,172,2,2443878.556000 5 Jan 1979 01:20:38.400000,2458267.476000 28 May 2018 23:25:26.400000,5.600,6.100,0.500 
93 RX BOO,15,1,2454181.415300 21 Mar 2007 21:58:01.920000,2454585.413900 28 Apr 2008 21:56:00.960000,8.800,9.000,0.200 
AA AUR,13,1,2454556.352100 30 Mar 2008 20:27:01.440000,2455843.397200 8 Oct 2011 21:31:58.080000,10.100,13.800,3.700 
AA CAS,275,7,2455833.418000 28 Sep 2011 22:01:55.200000,2459464.335400 6 Sep 2021 20:02:58.560000,6.600,9.800,3.200 
AA Cyg,4,1,2456091.328500 12 Jun 2012 19:53:02.400000,2456122.313900 13 Jul 2012 19:32:00.960000,8.600,9.000,0.400 
AAVSO,1,1,2453876.381900 20 May 2006 21:09:56.160000,2453876.381900 20 May 2006 21:09:56.160000,3.500,3.500,0.000 
AB AND,15,1,2450675.427000 14 Aug 1997 22:14:52.800000,2450675.559000 15 Aug 1997 01:24:57.600000,9.850,10.380,0.530 
AB AUR,10630,71,2441013.400000 2 Mar 1971 21:36:00.000000,2459906.392000 22 Nov 2022 21:24:28.800000,6.500,8.500,2.000 
AB CAS,79,1,2450676.425000 15 Aug 1997 22:12:00.000000,2451432.502000 11 Sep 1999 00:02:52.800000,10.300,11.400,1.100 
AB CYG,37,2,2456863.535000 25 Jul 2014 00:50:24.000000,2458456.335400 3 Dec 2018 20:02:58.560000,8.400,9.000,0.600 
AB DRA,15104,59,2440402.290000 29 Jun 1969 18:57:36.000000,2459906.305000 22 Nov 2022 19:19:12.000000,10.100,16.800,6.700 
AB HER,1,1,2448690.691000 9 Mar 1992 04:35:02.400000,2448690.691000 9 Mar 1992 04:35:02.400000,10.600,10.600,0.000 
AC AUR,1,1,2459172.483000 18 Nov 2020 23:35:31.200000,2459172.483000 18 Nov 2020 23:35:31.200000,12.400,12.400,0.000 
AC CAR,1,1,2452606.620100 28 Nov 2002 02:52:56.640000,2452606.620100 28 Nov 2002 02:52:56.640000,8.500,8.500,0.000 
AC HER,11311,87,2440391.471000 18 Jun 1969 23:18:14.400000,2459908.240000 24 Nov 2022 17:45:36.000000,6.570,9.100,2.530 
AC LMI,290,1,2454115.430600 14 Jan 2007 22:20:03.840000,2459739.456000 8 Jun 2022 22:56:38.400000,13.100,18.800,5.700 
AC Pup,2,1,2451261.978000 24 Mar 1999 11:28:19.200000,2459618.528000 8 Feb 2022 00:40:19.200000,9.600,9.700,0.100 
AD AND,31,1,2450724.347200 2 Oct 1997 20:19:58.080000,2454358.508300 15 Sep 2007 00:11:57.120000,10.700,11.500,0.800 
AD AUR,2,1,2447770.630556 1 Sep 1989 03:08:00.038400,2447770.656250 1 Sep 1989 03:45:00.000000,9.100,9.100,0.000 
AD CAS,1,1,2449593.422000 28 Aug 1994 22:07:40.800000,2449593.422000 28 Aug 1994 22:07:40.800000,11.300,11.300,0.000 
AD LEO,20,2,2440264.365000 11 Feb 1969 20:45:36.000000,2459677.417000 7 Apr 2022 22:00:28.800000,9.100,10.300,1.200 
AD LYR,2,2,2448033.511000 22 May 1990 00:15:50.400000,2459041.469000 10 Jul 2020 23:15:21.600000,10.600,12.900,2.300 
AD PER,3082,55,2440689.300000 12 Apr 1970 19:12:00.000000,2459908.260000 24 Nov 2022 18:14:24.000000,7.300,9.400,2.100 
AE AQR,102,3,2449618.378000 22 Sep 1994 21:04:19.200000,2459110.377000 17 Sep 2020 21:02:52.800000,10.600,12.000,1.400 
AE AUR,3782,80,2439933.333000 17 Mar 1968 19:59:31.200000,2459633.377800 22 Feb 2022 21:04:01.920000,5.100,6.900,1.800 
AE CAP,11,1,2445226.276000 13 Sep 1982 18:37:26.400000,2459455.390000 28 Aug 2021 21:21:36.000000,8.200,9.400,1.200 
AE CIR,2,1,2450250.300000 15 Jun 1996 19:12:00.000000,2450278.200000 13 Jul 1996 16:48:00.000000,11.800,11.900,0.100 
AE HER,38,1,2452001.641700 2 Apr 2001 03:24:02.880000,2452929.917400 17 Oct 2003 10:01:03.360000,9.600,14.200,4.600 
AE LYR,1,1,2447986.590000 5 Apr 1990 02:09:36.000000,2447986.590000 5 Apr 1990 02:09:36.000000,10.700,10.700,0.000 
AF CAM,2011,15,2440408.500000 6 Jul 1969 00:00:00.000000,2459904.420000 20 Nov 2022 22:04:48.000000,11.800,16.700,4.900 
AF CYG,12405,121,2433142.631900 14 Aug 1949 03:09:56.160000,2459908.281000 24 Nov 2022 18:44:38.400000,5.800,8.600,2.800 
AF LEO,7,1,2444690.374000 26 Mar 1981 20:58:33.600000,2458931.501000 23 Mar 2020 00:01:26.400000,8.800,10.100,1.300 
AF PEG,3,1,2455936.270000 9 Jan 2012 18:28:48.000000,2456271.267000 9 Dec 2012 18:24:28.800000,9.100,9.400,0.300 
AG CAR,10,3,2451028.923600 3 Aug 1998 10:09:59.040000,2451784.446000 27 Aug 2000 22:42:14.400000,7.100,7.400,0.300 
AG DRA,6939,53,2441145.400000 12 Jul 1971 21:36:00.000000,2459881.260000 28 Oct 2022 18:14:24.000000,6.800,10.800,4.000 
AG OPH,1,1,2447953.615000 3 Mar 1990 02:45:36.000000,2447953.615000 3 Mar 1990 02:45:36.000000,10.600,10.600,0.000 
AG PEG,10174,113,2440709.605000 3 May 1970 02:31:12.000000,2459906.434000 22 Nov 2022 22:24:57.600000,6.610,9.900,3.290 
AH AND,2,2,2448190.340000 25 Oct 1990 20:09:36.000000,2458385.354000 23 Sep 2018 20:29:45.600000,10.800,11.600,0.800 
AH DRA,5918,89,2441005.700000 23 Feb 1971 04:48:00.000000,2459907.269000 23 Nov 2022 18:27:21.600000,6.500,9.400,2.900 
AH ERI,1,1,2451189.330000 10 Jan 1999 19:55:12.000000,2451189.330000 10 Jan 1999 19:55:12.000000,14.000,14.000,0.000 
AH HER,12475,63,2441089.520800 18 May 1971 00:29:57.120000,2459883.276000 30 Oct 2022 18:37:26.400000,10.100,15.100,5.000 
AH SCO,4,1,2445853.540000 2 Jun 1984 00:57:36.000000,2451262.260000 24 Mar 1999 18:14:24.000000,7.400,8.400,1.000 
AH TRI,1,1,2458817.457000 29 Nov 2019 22:58:04.800000,2458817.457000 29 Nov 2019 22:58:04.800000,7.100,7.100,0.000 
AI AND,1,1,2450686.433000 25 Aug 1997 22:23:31.200000,2450686.433000 25 Aug 1997 22:23:31.200000,10.900,10.900,0.000 
AI DRA,1032,8,2443260.378000 26 Apr 1977 21:04:19.200000,2459618.453100 7 Feb 2022 22:52:27.840000,6.800,8.100,1.300 
AI LEO,2,1,2446136.413000 11 Mar 1985 21:54:43.200000,2456062.454900 14 May 2012 22:55:03.360000,9.400,10.200,0.800 
AI LYR,1,1,2448477.422000 8 Aug 1991 22:07:40.800000,2448477.422000 8 Aug 1991 22:07:40.800000,10.900,10.900,0.000 
AI OPH,1,1,2449783.669000 7 Mar 1995 04:03:21.600000,2449783.669000 7 Mar 1995 04:03:21.600000,10.600,10.600,0.000 
AI PER,25,2,2452149.573600 28 Aug 2001 01:45:59.040000,2452940.449300 27 Oct 2003 22:46:59.520000,9.300,13.900,4.600 
AI TRI,124,1,2454056.538900 17 Nov 2006 00:56:00.960000,2455631.628500 11 Mar 2011 03:05:02.400000,14.700,16.300,1.600 
AK AQL,1,1,2449129.578000 22 May 1993 01:52:19.200000,2449129.578000 22 May 1993 01:52:19.200000,10.200,10.200,0.000 
AK CNC,1101,9,2448644.437500 22 Jan 1992 22:30:00.000000,2459704.396000 4 May 2022 21:30:14.400000,12.300,16.300,4.000 
AK HER,93,2,2453930.510400 14 Jul 2006 00:14:58.560000,2458280.512000 11 Jun 2018 00:17:16.800000,7.900,8.570,0.670 
AK HYA,39,1,2444615.514000 11 Jan 1981 00:20:09.600000,2459679.392000 9 Apr 2022 21:24:28.800000,6.500,7.500,1.000 
AK IND,6,1,2444875.446000 27 Sep 1981 22:42:14.400000,2453339.917000 30 Nov 2004 10:00:28.800000,8.000,8.500,0.500 
AK LEO,21,1,2444690.375000 26 Mar 1981 21:00:00.000000,2459705.470000 5 May 2022 23:16:48.000000,8.300,9.700,1.400 
AK PEG,1,1,2459132.361000 9 Oct 2020 20:39:50.400000,2459132.361000 9 Oct 2020 20:39:50.400000,10.100,10.100,0.000 
AK PER,1,1,2449775.363000 26 Feb 1995 20:42:43.200000,2449775.363000 26 Feb 1995 20:42:43.200000,10.500,10.500,0.000 
AL COM,1219,13,2448010.406900 28 Apr 1990 21:45:56.160000,2459757.455000 26 Jun 2022 22:55:12.000000,11.960,17.300,5.340 
AL DRA,2,1,2447744.470833 5 Aug 1989 23:17:59.971200,2447744.471528 5 Aug 1989 23:19:00.019200,10.200,10.200,0.000 
AL PER,2,1,2447886.460417 25 Dec 1989 23:03:00.028800,2447886.461111 25 Dec 1989 23:03:59.990400,11.000,11.000,0.000 
ALPHA CAS,1553,11,2411741.500000 9 Jan 1891 00:00:00.000000,2459790.417000 29 Jul 2022 22:00:28.800000,1.800,2.500,0.700 
ALPHA HER,2525,41,2401407.431250 23 Sep 1862 22:21:00.000000,2459752.465000 21 Jun 2022 23:09:36.000000,2.400,4.300,1.900 
ALPHA ORI,5536,126,2412807.500000 10 Dec 1893 00:00:00.000000,2459906.399000 22 Nov 2022 21:34:33.600000,-0.600,8.200,8.800 
ALPHA SCO,77,1,2457509.490000 30 Apr 2016 23:45:36.000000,2459051.396000 20 Jul 2020 21:30:14.400000,0.900,1.800,0.900 
ALPHA UMI,3,1,2453716.356000 11 Dec 2005 20:32:38.400000,2454465.519000 31 Dec 2007 00:27:21.600000,0.100,2.800,2.700 
AM ARI,17,1,2458401.456000 9 Oct 2018 22:56:38.400000,2459852.481000 29 Sep 2022 23:32:38.400000,7.200,8.000,0.800 
AM CAS,954,6,2451066.363000 9 Sep 1998 20:42:43.200000,2458434.460000 11 Nov 2018 23:02:24.000000,12.300,15.600,3.300 
AM HER,2415,14,2449252.335000 21 Sep 1993 20:02:24.000000,2459896.258000 12 Nov 2022 18:11:31.200000,12.600,15.600,3.000 
AM LAC,2,1,2447702.478472 24 Jun 1989 23:28:59.980800,2447702.492361 24 Jun 1989 23:48:59.990400,11.000,11.000,0.000 
AN LYR,47,2,2452708.648600 10 Mar 2003 03:33:59.040000,2456158.372200 18 Aug 2012 20:55:58.080000,10.300,14.700,4.400 
AN ORI,1,1,2459273.361000 27 Feb 2021 20:39:50.400000,2459273.361000 27 Feb 2021 20:39:50.400000,11.200,11.200,0.000 
AN PEG,4,1,2454736.363900 26 Sep 2008 20:44:00.960000,2455506.383300 5 Nov 2010 21:11:57.120000,11.100,14.400,3.300 
AN UMA,420,2,2451241.453400 3 Mar 1999 22:52:53.760000,2457546.438000 6 Jun 2016 22:30:43.200000,11.700,16.000,4.300 
Antiope,1,1,2452722.400000 23 Mar 2003 21:36:00.000000,2452722.400000 23 Mar 2003 21:36:00.000000,14.200,14.200,0.000 
AO 0235+164 ARI,3,1,2449252.520000 22 Sep 1993 00:28:48.000000,2451098.579800 12 Oct 1998 01:54:54.720000,13.000,15.800,2.800 
AO CRU,8,1,2445857.490000 5 Jun 1984 23:45:36.000000,2451260.947000 23 Mar 1999 10:43:40.800000,7.800,8.300,0.500 
AO GEM,1,1,2449355.387000 2 Jan 1994 21:17:16.800000,2449355.387000 2 Jan 1994 21:17:16.800000,9.500,9.500,0.000 
AO HER,678,4,2455076.373600 1 Sep 2009 20:57:59.040000,2459896.258000 12 Nov 2022 18:11:31.200000,10.300,16.300,6.000 
AO LYR,4,1,2447603.593750 18 Mar 1989 02:15:00.000000,2447624.515278 8 Apr 1989 00:22:00.019200,11.100,11.300,0.200 
AO OCT,2,1,2456573.922000 8 Oct 2013 10:07:40.800000,2456591.860000 26 Oct 2013 08:38:24.000000,15.100,15.500,0.400 
AP CrB,145,1,2454963.648600 12 May 2009 03:33:59.040000,2455709.754900 28 May 2011 06:07:03.360000,16.110,18.390,2.280 
AP LAC,1,1,2448103.522000 31 Jul 1990 00:31:40.800000,2448103.522000 31 Jul 1990 00:31:40.800000,9.700,9.700,0.000 
AP LEO,50,1,2450538.345800 30 Mar 1997 20:17:57.120000,2451279.486100 10 Apr 1999 23:39:59.040000,9.300,10.000,0.700 
AP LIB,7,1,2451252.154000 14 Mar 1999 15:41:45.600000,2451263.180000 25 Mar 1999 16:19:12.000000,14.700,15.100,0.400 
AP LYR,1,1,2448810.472000 6 Jul 1992 23:19:40.800000,2448810.472000 6 Jul 1992 23:19:40.800000,11.000,11.000,0.000 
AP PER,2,1,2447766.588194 28 Aug 1989 02:06:59.961600,2447766.595139 28 Aug 1989 02:17:00.009600,10.900,10.900,0.000 
AQ AND,3003,48,2439954.700000 8 Apr 1968 04:48:00.000000,2459902.399000 18 Nov 2022 21:34:33.600000,5.900,9.500,3.600 
AQ AUR,19,1,2451982.411800 13 Mar 2001 21:52:59.520000,2452947.604200 4 Nov 2003 02:30:02.880000,11.400,13.500,2.100 
AQ CAS,2,1,2447802.423611 2 Oct 1989 22:09:59.990400,2447802.451389 2 Oct 1989 22:50:00.009600,11.300,11.300,0.000 
AQ CMI,593,5,2449695.547200 9 Dec 1994 01:07:58.080000,2459691.369000 21 Apr 2022 20:51:21.600000,13.100,17.000,3.900 
AQ ERI,92,3,2451155.361000 7 Dec 1998 20:39:50.400000,2453267.577100 19 Sep 2004 01:51:01.440000,12.900,14.500,1.600 
AQ HER,2,1,2447776.463194 6 Sep 1989 23:06:59.961600,2447776.481250 6 Sep 1989 23:33:00.000000,10.500,10.500,0.000 
AQ SGR,114,1,2444482.402000 30 Aug 1980 21:38:52.800000,2459870.292000 17 Oct 2022 19:00:28.800000,7.300,8.000,0.700 
AR AND,1271,10,2450302.462000 6 Aug 1996 23:05:16.800000,2459906.307000 22 Nov 2022 19:22:04.800000,11.100,16.300,5.200 
AR AUR,2549,10,2440969.586100 18 Jan 1971 02:03:59.040000,2459704.403000 4 May 2022 21:40:19.200000,5.700,7.300,1.600 
AR CEP,7541,105,2439916.549000 1 Mar 1968 01:10:33.600000,2459904.271000 20 Nov 2022 18:30:14.400000,6.200,8.800,2.600 
AR LAC,316,5,2443527.323000 18 Jan 1978 19:45:07.200000,2458456.381000 3 Dec 2018 21:08:38.400000,5.800,7.200,1.400 
AR PER,1,1,2447944.393000 21 Feb 1990 21:25:55.200000,2447944.393000 21 Feb 1990 21:25:55.200000,10.600,10.600,0.000 
AR UMA,293,1,2450211.431900 7 May 1996 22:21:56.160000,2457155.499000 12 May 2015 23:58:33.600000,12.400,16.100,3.700 
AS CEP,174,1,2450633.500000 4 Jul 1997 00:00:00.000000,2451849.300000 31 Oct 2000 19:12:00.000000,9.700,10.700,1.000 
AS HER,21,1,2453906.420800 19 Jun 2006 22:05:57.120000,2456150.398600 10 Aug 2012 21:33:59.040000,8.900,13.100,4.200 
AS245 SGR,1,1,2449126.440900 18 May 1993 22:34:53.760000,2449126.440900 18 May 1993 22:34:53.760000,12.500,12.500,0.000 
ASAS J055007+0305.6,1,1,2459658.357000 19 Mar 2022 20:34:04.800000,2459658.357000 19 Mar 2022 20:34:04.800000,12.000,12.000,0.000 
ASAS J153608-2256.5,2,1,2453872.440300 16 May 2006 22:34:01.920000,2453883.459700 27 May 2006 23:01:58.080000,14.600,14.600,0.000 
ASASSN-14CL,50,2,2456832.563000 24 Jun 2014 01:30:43.200000,2459592.326000 12 Jan 2022 19:49:26.400000,11.000,16.000,5.000 
ASASSN-14ID,271,2,2456942.330000 11 Oct 2014 19:55:12.000000,2459860.342000 7 Oct 2022 20:12:28.800000,13.600,16.200,2.600 
ASASSN-14JV,184,2,2456974.279000 12 Nov 2014 18:41:45.600000,2459860.356000 7 Oct 2022 20:32:38.400000,11.800,15.300,3.500 
ASASSN-15AX,275,1,2457659.341000 27 Sep 2016 20:11:02.400000,2459896.263000 12 Nov 2022 18:18:43.200000,14.200,15.800,1.600 
ASASSN-15BP,18,1,2457868.550000 25 Apr 2017 01:12:00.000000,2459319.402000 14 Apr 2021 21:38:52.800000,14.400,15.500,1.100 
ASASSN-15PO,31,1,2457659.473000 27 Sep 2016 23:21:07.200000,2459855.490000 2 Oct 2022 23:45:36.000000,15.000,15.400,0.400 
ASASSN-16FY,75,1,2457575.443000 5 Jul 2016 22:37:55.200000,2459732.483000 1 Jun 2022 23:35:31.200000,14.700,15.800,1.100 
ASASSN-17NI,70,1,2458367.566000 6 Sep 2018 01:35:02.400000,2459904.392000 20 Nov 2022 21:24:28.800000,14.700,15.600,0.900 
AT AUR,1,1,2449630.553000 5 Oct 1994 01:16:19.200000,2449630.553000 5 Oct 1994 01:16:19.200000,10.900,10.900,0.000 
AT CNC,888,5,2450134.396500 20 Feb 1996 21:30:57.600000,2459704.390000 4 May 2022 21:21:36.000000,12.300,15.500,3.200 
AT CYG,19,2,2448444.479000 6 Jul 1991 23:29:45.600000,2451163.299000 15 Dec 1998 19:10:33.600000,11.600,14.200,2.600 
AT DRA,3880,75,2441003.500000 21 Feb 1971 00:00:00.000000,2459739.524000 9 Jun 2022 00:34:33.600000,4.700,6.700,2.000 
AU AUR,1,1,2459172.497000 18 Nov 2020 23:55:40.800000,2459172.497000 18 Nov 2020 23:55:40.800000,11.400,11.400,0.000 
AU CYG,22,2,2453117.588900 22 Apr 2004 02:08:00.960000,2456158.393700 18 Aug 2012 21:26:55.680000,9.000,15.000,6.000 
AU MON,12,1,2452714.308000 15 Mar 2003 19:23:31.200000,2452721.428000 22 Mar 2003 22:16:19.200000,8.700,9.800,1.100 
AU VUL,1,1,2448010.600000 29 Apr 1990 02:24:00.000000,2448010.600000 29 Apr 1990 02:24:00.000000,10.000,10.000,0.000 
AV CAS,40,1,2450132.270000 18 Feb 1996 18:28:48.000000,2451815.306000 27 Sep 2000 19:20:38.400000,12.100,14.400,2.300 
AV HER,2,1,2447703.504861 26 Jun 1989 00:06:59.990400,2447703.511806 26 Jun 1989 00:17:00.038400,10.000,10.000,0.000 
AW CYG,48,5,2441252.400000 27 Oct 1971 21:36:00.000000,2458396.326000 4 Oct 2018 19:49:26.400000,8.300,10.300,2.000 
AW GEM,2475,13,2448267.554800 11 Jan 1991 01:18:54.720000,2459704.387000 4 May 2022 21:17:16.800000,12.200,17.500,5.300 
AW LAC,1,1,2450727.373000 5 Oct 1997 20:57:07.200000,2450727.373000 5 Oct 1997 20:57:07.200000,10.100,10.100,0.000 
AW Per,3,1,2449809.036800 1 Apr 1995 12:52:59.520000,2449817.074300 9 Apr 1995 13:46:59.520000,7.700,8.000,0.300 
AW SGE,1902,12,2448388.581200 12 May 1991 01:56:55.680000,2459906.284000 22 Nov 2022 18:48:57.600000,12.500,17.900,5.400 
AX AND,19,3,2452971.468100 27 Nov 2003 23:14:03.840000,2459249.340000 3 Feb 2021 20:09:36.000000,10.000,14.400,4.400 
AX AQL,1,1,2449129.578000 22 May 1993 01:52:19.200000,2449129.578000 22 May 1993 01:52:19.200000,11.000,11.000,0.000 
AX CAP,1,1,2455063.538200 20 Aug 2009 00:55:00.480000,2455063.538200 20 Aug 2009 00:55:00.480000,17.000,17.000,0.000 
AX CEP,50,2,2447767.429861 28 Aug 1989 22:18:59.990400,2451879.300000 30 Nov 2000 19:12:00.000000,9.400,12.300,2.900 
AX For,1,1,2456609.876000 13 Nov 2013 09:01:26.400000,2456609.876000 13 Nov 2013 09:01:26.400000,13.800,13.800,0.000 
AX PER,4264,26,2447173.254800 12 Jan 1988 18:06:54.720000,2459906.306000 22 Nov 2022 19:20:38.400000,8.700,13.200,4.500 
AY AUR,18,1,2451982.418100 13 Mar 2001 22:02:03.840000,2454565.366000 8 Apr 2008 20:47:02.400000,10.600,13.800,3.200 
AY LAC,771,6,2451916.292400 6 Jan 2001 19:01:03.360000,2459860.344000 7 Oct 2022 20:15:21.600000,13.600,17.900,4.300 
AY LYR,14212,65,2440398.550000 26 Jun 1969 01:12:00.000000,2459906.274000 22 Nov 2022 18:34:33.600000,10.700,18.400,7.700 
AY OPH,24,1,2452042.515300 13 May 2001 00:22:01.920000,2452896.369400 13 Sep 2003 20:51:56.160000,10.600,14.000,3.400 
AZ AND,26,2,2447720.465972 12 Jul 1989 23:10:59.980800,2451574.398000 30 Jan 2000 21:33:07.200000,10.200,14.000,3.800 
AZ AUR,1,1,2459308.351000 3 Apr 2021 20:25:26.400000,2459308.351000 3 Apr 2021 20:25:26.400000,11.500,11.500,0.000 
AZ DRA,370,5,2445054.396000 25 Mar 1982 21:30:14.400000,2459852.408000 29 Sep 2022 21:47:31.200000,6.600,8.200,1.600 
AZ HER,16,1,2452708.638900 10 Mar 2003 03:20:00.960000,2453214.470100 27 Jul 2004 23:16:56.640000,11.700,14.400,2.700 
AZ TAU,1,1,2449753.365000 4 Feb 1995 20:45:36.000000,2449753.365000 4 Feb 1995 20:45:36.000000,10.900,10.900,0.000 
AZ UMA,2,1,2452343.470000 9 Mar 2002 23:16:48.000000,2454482.788200 17 Jan 2008 06:55:00.480000,8.800,8.900,0.100 
BB AND,1,1,2449000.390000 12 Jan 1993 21:21:36.000000,2449000.390000 12 Jan 1993 21:21:36.000000,10.400,10.400,0.000 
BB ARI,322,3,2453040.313000 4 Feb 2004 19:30:43.200000,2459904.377000 20 Nov 2022 21:02:52.800000,13.200,18.800,5.600 
BB CYG,2,1,2447766.425694 27 Aug 1989 22:12:59.961600,2447766.427083 27 Aug 1989 22:14:59.971200,10.200,10.200,0.000 
BB Vel,8,1,2451250.003000 12 Mar 1999 12:04:19.200000,2451263.187000 25 Mar 1999 16:29:16.800000,13.700,13.700,0.000 
BC CEP,1,1,2448739.571000 27 Apr 1992 01:42:14.400000,2448739.571000 27 Apr 1992 01:42:14.400000,11.300,11.300,0.000 
BC CYG,4256,52,2441470.500000 2 Jun 1972 00:00:00.000000,2459893.340000 9 Nov 2022 20:09:36.000000,8.500,11.020,2.520 
BC OPH,39,2,2452103.494400 12 Jul 2001 23:51:56.160000,2456150.419400 10 Aug 2012 22:03:56.160000,9.600,14.900,5.300 
BC SER,27,2,2451998.582600 30 Mar 2001 01:58:56.640000,2454663.434000 15 Jul 2008 22:24:57.600000,9.400,14.000,4.600 
BC UMA,2226,15,2448259.503400 3 Jan 1991 00:04:53.760000,2459732.473000 1 Jun 2022 23:21:07.200000,10.100,19.410,9.310 
BD CAM,9,1,2443777.392000 25 Sep 1978 21:24:28.800000,2458999.539000 30 May 2020 00:56:09.600000,5.000,5.400,0.400 
BD PAV,7,1,2456456.923000 13 Jun 2013 10:09:07.200000,2456584.897000 19 Oct 2013 09:31:40.800000,12.900,15.300,2.400 
BD+26 2566,55,2,2454589.480600 2 May 2008 23:32:03.840000,2456814.430000 5 Jun 2014 22:19:12.000000,8.000,9.000,1.000 
BE GEM,11,2,2451146.561100 29 Nov 1998 01:27:59.040000,2455840.406900 5 Oct 2011 21:45:56.160000,10.200,14.600,4.400 
BE Her,12,1,2455752.431000 9 Jul 2011 22:20:38.400000,2456267.231000 5 Dec 2012 17:32:38.400000,8.600,9.600,1.000 
BE OCT,1,1,2456609.871000 13 Nov 2013 08:54:14.400000,2456609.871000 13 Nov 2013 08:54:14.400000,13.500,13.500,0.000 
BET DOR,1,1,2453338.996000 29 Nov 2004 11:54:14.400000,2453338.996000 29 Nov 2004 11:54:14.400000,4.000,4.000,0.000 
BETA AND,2,1,2442656.592000 1 Sep 1975 02:12:28.800000,2443785.368000 3 Oct 1978 20:49:55.200000,2.200,2.200,0.000 
BETA LEO,67,5,2443571.517000 4 Mar 1978 00:24:28.800000,2458951.469000 11 Apr 2020 23:15:21.600000,1.600,3.000,1.400 
